Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Cheron (Henry)	Cheron (Henry)	[318, 434, 661, 776, 792, 1699]	[318, 434, 661, 776, 792, 1699]	0.0000	1.0000
1	1	Connevot	Connevot	[205, 1490, 1491, 1671, 1687]	[205, 1490, 1491, 1671, 1687]	0.0000	1.0000
2	2	Cornudet	Cornudet	[64, 233, 247, 595, 596, 624, 679, 1661, 1663, 1715]	[64, 233, 247, 595, 596, 624, 679, 1661, 1663, 1715]	0.0000	1.0000
3	3	Coucoureux (Joseph)	Coucoureux (Joseph)	[358, 363, 583, 719, 730, 1707]	[358, 363, 583, 719, 730, 1707, 1707]	0.0000	1.0000
4	4	Courtier (Joseph)	Courtier (Joseph)	[109, 124, 175, 176, 272, 499, 558, 661, 662, 695, 764, 908, 986, 988, 990, 1115, 1318, 1343, 1360, 1446, 1665, 1668, 1669, 1672]	[109, 124, 175, 176, 272, 499, 558, 661, 662, 695, 764, 908, 986, 988, 990, 1115, 1318, 1343, 1360, 1446, 1665, 1668, 1669, 1672]	0.0000	1.0000
5	5	Curral (Hippolyte)	Curral (Hippolyte)	[124, 1421, 1427, 1760, 1765, 1766, 1768, 1769, 1770, 1772, 1773, 1774, 1775, 1809, 1811, 1813]	[124, 1421, 1427, 1760, 1765, 1766, 1768, 1769, 1770, 1772, 1773, 1774, 1775, 1809, 1811, 1813]	0.0000	1.0000
6	6	Cuttoli (Paul)	Cuttoli (Paul)	[758, 1337, 1354]	[758, 1337, 1354]	0.0000	1.0000
7	7	Dalbiez (Victor)	Dalbiez (Victor)	[489, 511]	[489, 511]	0.0000	1.0000
8	8	Damecour	Damecour	[485, 497, 703, 1146, 1153, 1310, 1672, 1676, 1691, 1708]	[485, 497, 703, 1146, 1153, 1310, 1672, 1676, 1691, 1708]	0.0000	1.0000
9	9	Darteyre (Louis)	Darteyre (Louis)	[661]	[661]	0.0000	1.0000
10	10	Dauthy (Henry)	Dauthy (Henry)	[601, 898, 675, 1151, 1160, 1169, 1419, 1421, 1427, 1439, 1442, 1444, 1445, 1446, 1458, 1461, 1462, 1463, 1470, 1473, 1475, 1479, 1481, 1514]	[601, 898, 675, 1151, 1160, 1169, 1419, 1421, 1427, 1439, 1442, 1444, 1445, 1446, 1458, 1461, 1462, 1463, 1470, 1473, 1475, 1479, 1481, 1514]	0.0000	1.0000
11	11	David (Fernand)	David (Fernand)	[88, 113, 112, 486, 493, 498, 739, 1291, 1298, 1666, 1668, 1676, 1679, 1710, 1711, 1716, 1722, 1723]	[88, 113, 112, 486, 493, 498, 739, 1291, 1298, 1666, 1668, 1676, 1679, 1710, 1711, 1716, 1722, 1723]	0.0000	1.0000
12	12	Debierre (Charles)	Debierre (Charles)	[643, 859, 1029, 1561, 1562, 1565, 1129]	[643, 859, 1029, 1561, 1562, 1565, 1129]	0.0000	1.0000
13	13	Decroze	Decroze	[647]	[647]	0.0000	1.0000
14	14	Delahaye (Dominique)	Delahaye (Doique)	[17, 36, 37, 1131, 1389, 1390, 1525, 1581, 1582, 1584, 110, 376, 415, 439, 446, 452, 569, 640, 709, 783, 853, 899, 506, 1127, 1220, 1294, 1444, 1445, 1446, 1463, 1553, 1563, 1623, 1664, 1676, 1695]	[17, 36, 37, 1131, 1389, 1390, 1525, 1581, 1582, 1584, 110, 376, 415, 439, 446, 452, 569, 640, 709, 783, 853, 899, 1220, 1294, 1444, 1445, 1446, 1463, 1553, 1563, 1623, 1664, 1676, 1695]	0.0811	0.9189
15	15	Delhoume (Louis)	Delhoume (Louis)	[445, 495, 631, 657, 678, 703, 851, 902, 1286, 1319, 1537, 1626, 1670, 1690]	[445, 495, 631, 657, 678, 703, 851, 902, 1286, 1319, 1537, 1626, 1670, 1690]	0.0000	1.0000
16	16	Deligne	Deligne, ministre des travaux publics	[463, 465, 466, 672, 674, 677, 678, 680, 699, 703, 804, 969, 1130, 1226, 1686, 1687, 1690, 1691, 1693, 1694, 1695, 1696, 1730]	[463, 465, 466, 672, 674, 677, 678, 680, 699, 703, 804, 969, 1130, 1226, 1686, 1687, 1690, 1691, 1693, 1694, 1695, 1696, 1730]	0.6818	0.3182
17	17	Delpierre (Victor)	Delpierre (Victor)	[160, 490, 584]	[160, 490, 584]	0.0000	1.0000
18	18	Delthil (Roger)	Delthil (Roger)	[263, 271]	[263, 271]	0.0000	1.0000
