Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Dentu	Dentu	[1024, 1031, 1560, 1563, 1564]	[1024, 1031, 1560, 1563, 1564]	0.0000	1.0000
1	1	Desjardins (Charles)	Desjardins (Charles)	[563]	[563]	0.0000	1.0000
2	2	Donon (Marcel)	Donon (Marcel)	[8, 113, 247, 537, 574, 649, 776, 866, 1325, 1326, 1332, 1335, 1351, 1355, 1356, 1360, 1366, 1368, 1389, 1584]	[8, 113, 247, 537, 649, 776, 574, 1389, 866, 1325, 1326, 1332, 1335, 1351, 1355, 1356, 1360, 1366, 1368, 1584]	0.0000	1.0000
3	3	Doumer (Paul)	Doumer (Paul)	[8, 15, 129, 143, 203, 386, 933, 935, 938, 1021]	[8, 15, 129, 143, 203, 386, 935, 933, 938, 1021]	0.0000	1.0000
4	4	Drivet	Drivet	[635, 676, 768]	[635, 676, 768]	0.0000	1.0000
5	5	Duchein	Duchein	[491]	[491]	0.0000	1.0000
6	6	Dumesnil	Dumesnil, ministre de l'air	[394, 396, 401, 402, 541, 546, 548, 549, 550, 551, 552, 845, 1003, 1700, 1701, 1702, 1703]	[394, 396, 401, 402, 541, 546, 548, 519, 550, 551, 552, 1003, 1700, 1701, 1702, 1703]	0.5429	0.4571
7	7	Dumont (Charles)	Dumont (Charles), ministre de la marine militaire	[133, 296, 297, 516, 519, 520, 521, 531, 533, 695, 696, 1136, 1258, 1274, 1278, 1279, 1280, 1282]	[133, 296, 297, 516, 519, 520, 521, 531, 533, 695, 696, 1136, 1258, 1274, 1278, 1279, 1280, 1282]	0.5077	0.4923
8	8	Duplantier	Duplantier	[407, 1584]	[407, 1584]	0.0000	1.0000
9	9	Durand (Jean)	Durand (Jean)	<renvoi d'index>	[1094, 1389]	0.0000	1.0000
10	10	Duroux (Jacques)	Duroux (Jaeques)	[1347]	[1347]	0.0625	0.9375
11	11	Eccard (Frédéric)	Eccard (Frédéric)	[262, 406, 627, 1094, 1389]	[262, 1094, 1389, 406, 627]	0.0000	1.0000
12	12	Gavillon (Edmond)	Edmond Gavillon	[17, 125, 182, 197, 563, 806, 884, 1094, 1102, 1124, 1389, 1559, 1582, 1812]	[17, 125, 182, 197, 563, 806, 884, 1094, 1102, 1124, 1559, 1582, 1812]	0.5000	0.5000
13	13	Sari (Emile)	Emile Sari	[8, 622, 623, 648, 652, 766, 785, 850, 850, 1606, 1715, 1717]	[8, 622, 623, 648, 652, 766, 850, 766, 785, 850, 1606, 1715, 1717]	0.5455	0.4545
14	14	Chanal (Eugène)	Eugène Chanal	[109, 1297, 1368]	[109, 1297, 1368]	0.5714	0.4286
15	15	Penancier (Eugène)	Eugène Penancier	[270, 328, 342, 345, 346, 348, 360, 364, 365, 371, 373, 378, 379, 416, 417, 418, 419, 584, 1211, 1549, 1555, 1633, 1775]	[270, 328, 342, 345, 346, 348, 360, 364, 365, 371, 373, 378, 379, 416, 417, 418, 419, 584, 1211, 1549, 1555, 1633, 1775]	0.4706	0.5294
16	16	Even	Even	[196, 211, 785, 797]	[196, 211, 785, 797]	0.0000	1.0000
17	17	Farjon (Roger)	Farjon (Roger)	[95, 133, 387, 519, 660, 862, 901, 1095, 1260, 1648]	[95, 133, 387, 519, 660, 862, 901, 1095, 1260, 1648]	0.0000	1.0000
18	18	Faure (Joseph)	Faure (Joseph)	[83, 125, 485, 494, 727, 731, 798, 808, 809, 862, 864, 969, 1136, 1289]	[83, 969, 125, 485, 494, 727, 731, 798, 808, 809, 862, 1289]	0.0000	1.0000
